Date,High,Low,Open,Close,Volume,Adj Close
2017-08-07,218.75,200.0,200.0,206.25,14948,206.25
2017-08-08,208.5,190.0,206.25,192.5,17784,192.5
2017-08-09,197.5,190.0,190.0,192.5,10276,192.5
2017-08-10,200.0,186.25,195.0,191.25,10468,191.25
2017-08-11,195.0,186.25,192.5,188.75,8632,188.75
2017-08-14,191.25,181.25,190.0,185.0,14188,185.0
2017-08-15,211.25,175.25,180.0,202.5,33324,202.5
2017-08-16,221.0,199.0,203.75,212.5,27332,212.5
2017-08-17,225.25,201.25,210.0,203.75,24432,203.75
2017-08-18,215.0,186.25,201.25,195.0,30112,195.0
2017-08-21,203.75,187.5,196.25,196.25,20136,196.25
2017-08-22,205.0,194.5,198.5,196.25,18108,196.25
2017-08-23,223.75,199.5,200.0,218.75,31904,218.75
2017-08-24,242.5,221.25,221.25,240.0,34228,240.0
2017-08-25,250.0,220.0,241.25,226.25,38728,226.25
2017-08-28,247.0,225.0,226.25,237.5,27500,237.5
2017-08-29,290.0,240.0,251.25,281.25,111496,281.25
2017-08-30,355.0,268.0,286.25,341.25,139212,341.25
2017-08-31,356.25,306.25,337.5,328.75,122312,328.75
2017-09-01,349.75,322.75,326.25,345.0,59508,345.0
2017-09-05,381.25,332.5,346.25,355.0,88308,355.0
2017-09-06,362.5,326.0,353.75,335.0,53980,335.0
2017-09-07,349.75,327.5,335.0,346.25,31488,346.25
2017-09-08,355.0,335.0,348.75,346.25,24264,346.25
2017-09-11,365.0,343.75,347.5,350.0,32424,350.0
2017-09-12,355.75,341.5,355.0,345.0,21124,345.0
2017-09-13,357.5,340.0,341.25,350.0,36952,350.0
2017-09-14,355.75,343.75,348.75,350.0,26268,350.0
2017-09-15,431.25,362.5,362.5,430.0,173004,430.0
2017-09-18,447.5,403.75,426.25,412.5,85716,412.5
2017-09-19,426.25,402.75,416.25,418.75,44316,418.75
2017-09-20,423.75,404.5,423.75,412.5,23884,412.5
2017-09-21,426.25,403.75,412.5,405.0,36896,405.0
2017-09-22,397.5,365.0,397.5,373.75,57864,373.75
2017-09-25,385.0,342.5,370.0,367.5,45552,367.5
2017-09-26,377.5,347.5,368.75,353.75,30356,353.75
2017-09-27,390.0,356.25,358.75,378.75,33832,378.75
2017-09-28,435.0,385.0,385.0,423.75,65356,423.75
2017-09-29,472.5,406.25,427.5,426.25,85320,426.25
2017-10-02,447.25,415.0,418.75,443.75,25260,443.75
2017-10-03,461.25,423.75,461.25,440.0,27448,440.0
2017-10-04,444.75,428.75,437.5,435.0,21672,435.0
2017-10-05,471.25,437.5,463.75,462.5,46980,462.5
2017-10-06,467.5,435.0,466.25,442.5,38756,442.5
2017-10-09,452.5,430.0,446.25,437.5,27680,437.5
2017-10-10,508.75,438.75,450.0,498.75,97772,498.75
2017-10-11,568.75,455.0,511.25,483.75,128596,483.75
2017-10-12,496.25,436.25,485.0,438.75,72344,438.75
2017-10-13,447.25,393.75,441.25,402.5,79288,402.5
2017-10-16,432.5,400.0,427.5,417.5,49952,417.5
2017-10-17,458.75,413.75,435.0,447.5,156384,447.5
2017-10-18,450.0,417.5,443.75,437.5,74248,437.5
2017-10-19,447.5,430.0,433.75,443.75,41992,443.75
2017-10-20,500.0,445.0,445.0,475.0,74644,475.0
2017-10-23,510.0,459.25,477.5,465.0,63688,465.0
2017-10-24,474.75,446.25,461.25,446.25,39940,446.25
2017-10-25,465.0,438.75,445.0,450.0,27848,450.0
2017-10-26,457.5,426.25,443.75,435.0,58152,435.0
2017-10-27,438.75,425.0,432.5,432.5,37672,432.5
2017-10-30,439.0,426.25,435.0,436.25,26036,436.25
2017-10-31,451.25,432.5,438.75,448.75,21704,448.75
2017-11-01,452.5,403.75,452.5,410.0,53504,410.0
2017-11-02,424.5,403.75,407.5,418.75,16416,418.75
2017-11-03,423.25,408.75,416.25,412.5,23116,412.5
2017-11-06,423.75,405.0,415.0,407.5,30176,407.5
2017-11-07,415.0,356.25,408.75,358.25,66228,358.25
2017-11-08,396.25,365.75,371.25,377.5,44004,377.5
2017-11-09,380.75,362.5,372.5,370.0,34296,370.0
2017-11-10,385.0,367.5,371.25,381.25,25268,381.25
