Date,High,Low,Open,Close,Volume,Adj Close
2017-08-07,305.0,286.0,296.0,299.0,23390,299.0
2017-08-08,308.0,291.0,301.0,292.0,22425,292.0
2017-08-09,285.5,246.0,284.0,256.5,51120,256.5
2017-08-10,256.0,239.0,256.0,241.0,32745,241.0
2017-08-11,288.0,240.0,240.0,278.0,51745,278.0
2017-08-14,283.0,264.0,280.0,271.0,29390,271.0
2017-08-15,293.0,270.0,270.0,287.0,27655,287.0
2017-08-16,290.0,278.0,285.0,288.0,24265,288.0
2017-08-17,292.0,276.0,287.0,279.0,24705,279.0
2017-08-18,286.5,276.0,278.0,280.0,16530,280.0
2017-08-21,293.0,273.1000061035156,279.0,293.0,20860,293.0
2017-08-22,313.0,293.0,294.0,310.0,22550,310.0
2017-08-23,308.0,298.5199890136719,306.0,305.0,13260,305.0
2017-08-24,312.0,303.0,306.0,307.0,18145,307.0
2017-08-25,310.0,295.0,308.0,300.0,15500,300.0
2017-08-28,320.0,301.0,303.0,317.0,20235,317.0
2017-08-29,334.0,308.0,313.0,326.0,18900,326.0
2017-08-30,332.5,323.0,327.0,325.0,13270,325.0
2017-08-31,330.0,315.5,325.0,328.0,23320,328.0
2017-09-01,336.0,322.0,331.0,326.0,14765,326.0
2017-09-05,325.6000061035156,311.0,325.0,322.0,15665,322.0
2017-09-06,334.0,320.3999938964844,326.0,326.0,14390,326.0
2017-09-07,336.0,317.0,325.0,335.0,13545,335.0
2017-09-08,341.0,324.0,333.0,325.0,13510,325.0
2017-09-11,337.3399963378906,310.0,330.0,315.0,20475,315.0
2017-09-12,320.0,303.0,316.0,312.0,28230,312.0
2017-09-13,324.0,302.0,311.0,309.0,21655,309.0
2017-09-14,314.0,296.0,309.0,303.0,24825,303.0
2017-09-15,313.0,300.0,304.0,301.0,50395,301.0
2017-09-18,316.0,302.0,303.0,312.0,19630,312.0
2017-09-19,322.0,308.0,311.0,322.0,15180,322.0
2017-09-20,331.0,320.0,322.0,329.0,22450,329.0
2017-09-21,335.0,319.0,329.0,324.0,19295,324.0
2017-09-22,324.0,310.0,324.0,318.0,21490,318.0
2017-09-25,345.0,315.0,320.0,319.0,46855,319.0
2017-09-26,319.0,304.0,319.0,309.0,56380,309.0
2017-09-27,322.260009765625,305.0,312.0,306.0,27310,306.0
2017-09-28,322.0,306.0,307.0,312.0,31620,312.0
2017-09-29,317.0,303.0,313.0,315.0,25435,315.0
2017-10-02,318.0,300.0,300.0,311.0,28060,311.0
2017-10-03,313.0,296.0,313.0,305.0,22825,305.0
2017-10-04,324.0,301.0,303.0,317.0,18950,317.0
2017-10-05,327.0,315.0,327.0,321.0,18435,321.0
2017-10-06,348.0,319.0,322.0,345.0,44385,345.0
2017-10-09,355.0,339.0,344.0,347.0,26030,347.0
2017-10-10,355.0,344.0,347.0,353.0,20465,353.0
2017-10-11,358.0,348.0,355.0,356.0,23270,356.0
