Date,High,Low,Open,Close,Volume,Adj Close
2017-08-07,528.0,488.0,520.0,504.0,642,504.0
2017-08-08,552.0,488.0,488.0,512.0,1604,512.0
2017-08-09,584.0,504.0,520.0,552.0,1857,552.0
2017-08-10,680.0,520.0,640.0,520.0,3007,520.0
2017-08-11,576.0,480.0,504.0,560.0,854,560.0
2017-08-14,576.0,528.0,560.0,576.0,557,576.0
2017-08-15,560.0,496.0,560.0,520.0,714,520.0
2017-08-16,520.0,472.0,520.0,480.0,497,480.0
2017-08-17,512.0,480.0,496.0,504.0,364,504.0
2017-08-18,512.0,472.0,512.0,488.0,539,488.0
2017-08-21,488.0,464.0,472.0,480.0,136,480.0
2017-08-22,512.0,440.0,512.0,472.0,376,472.0
2017-08-23,480.0,448.0,472.0,464.0,198,464.0
2017-08-24,464.0,448.0,448.0,456.0,87,456.0
2017-08-25,496.0,456.0,488.0,456.0,253,456.0
2017-08-28,464.0,448.0,464.0,448.0,163,448.0
2017-08-29,464.0,408.0,448.0,424.0,189,424.0
2017-08-30,440.0,400.0,432.0,416.0,142,416.0
2017-08-31,416.0,400.0,400.0,400.0,155,400.0
2017-09-01,464.0,408.0,424.0,456.0,150,456.0
2017-09-05,480.0,432.0,464.0,480.0,297,480.0
2017-09-06,472.0,440.0,472.0,440.0,109,440.0
2017-09-07,456.0,400.0,456.0,440.0,68,440.0
2017-09-08,456.0,416.0,424.0,456.0,87,456.0
2017-09-11,448.0,424.0,432.0,432.0,42,432.0
2017-09-12,432.0,416.0,424.0,432.0,112,432.0
2017-09-13,448.0,424.0,424.0,448.0,89,448.0
2017-09-14,448.0,416.0,432.0,424.0,125,424.0
2017-09-15,440.0,424.0,440.0,424.0,152,424.0
2017-09-18,440.0,424.0,432.0,424.0,50,424.0
2017-09-19,424.0,408.0,424.0,408.0,76,408.0
2017-09-20,424.0,400.0,400.0,408.0,156,408.0
2017-09-21,416.0,400.0,408.0,416.0,58,416.0
2017-09-22,416.0,400.0,416.0,408.0,43,408.0
2017-09-25,424.0,408.0,408.0,416.0,38,416.0
2017-09-26,416.0,408.0,408.0,408.0,38,408.0
2017-09-27,416.0,400.0,408.0,400.0,59,400.0
2017-09-28,448.0,400.0,408.0,440.0,244,440.0
2017-09-29,456.0,432.0,440.0,440.0,274,440.0
2017-10-02,512.0,408.0,448.0,432.0,480,432.0
2017-10-03,456.0,416.0,456.0,432.0,93,432.0
2017-10-04,432.0,408.0,424.0,416.0,127,416.0
2017-10-05,440.0,416.0,416.0,424.0,29,424.0
2017-10-06,464.0,440.0,448.0,456.0,250,456.0
2017-10-09,464.0,424.0,464.0,440.0,91,440.0
2017-10-10,448.0,424.0,432.0,432.0,70,432.0
2017-10-11,440.0,424.0,424.0,440.0,185,440.0
2017-10-12,528.0,440.0,440.0,520.0,3251,520.0
2017-10-13,576.0,496.0,528.0,496.0,2139,496.0
2017-10-16,576.0,496.0,496.0,528.0,3939,528.0
2017-10-17,576.0,472.0,536.0,552.0,2493,552.0
2017-10-18,568.0,528.0,552.0,536.0,1127,536.0
2017-10-19,544.0,488.0,536.0,512.0,1368,512.0
2017-10-20,536.0,496.0,512.0,512.0,803,512.0
2017-10-23,512.0,480.0,512.0,488.0,444,488.0
2017-10-24,496.0,464.0,496.0,480.0,616,480.0
2017-10-25,520.0,464.0,488.0,504.0,628,504.0
2017-10-26,504.0,488.0,504.0,496.0,293,496.0
2017-10-27,520.0,488.0,488.0,520.0,506,520.0
2017-10-30,552.0,512.0,512.0,544.0,1352,544.0
2017-10-31,592.0,496.0,552.0,496.0,2713,496.0
2017-11-01,504.0,464.0,496.0,480.0,757,480.0
2017-11-02,496.0,472.0,480.0,488.0,175,488.0
2017-11-03,568.0,480.0,560.0,488.0,1321,488.0
2017-11-06,496.0,464.0,488.0,480.0,403,480.0
2017-11-07,496.0,464.0,480.0,480.0,315,480.0
2017-11-08,496.0,448.0,496.0,456.0,332,456.0
2017-11-09,528.0,448.0,448.0,480.0,1153,480.0
2017-11-10,496.0,464.0,480.0,464.0,242,464.0
2017-11-13,480.0,456.0,480.0,472.0,107,472.0
2017-11-14,472.0,448.0,464.0,448.0,199,448.0
2017-11-15,480.0,448.0,448.0,456.0,444,456.0
2017-11-16,488.0,456.0,456.0,488.0,388,488.0
2017-11-17,496.0,472.0,488.0,472.0,425,472.0
2017-11-20,512.0,472.0,472.0,496.0,1351,496.0
2017-11-21,488.0,448.0,472.0,448.0,656,448.0
2017-11-22,544.0,448.0,448.0,504.0,3664,504.0
2017-11-24,704.0,568.0,672.0,648.0,15250,648.0
2017-11-27,2800.0,1624.0,2320.0,1704.0,54234,1704.0
2017-11-28,1280.0,928.0,1152.0,1104.0,16481,1104.0
2017-11-29,1552.0,1152.0,1472.0,1304.0,16410,1304.0
2017-11-30,1432.0,1104.0,1152.0,1360.0,10946,1360.0
2017-12-01,1552.0,1280.0,1488.0,1464.0,13295,1464.0
2017-12-04,2792.0,1720.0,2080.0,2792.0,46602,2792.0
2017-12-05,3416.0,2160.0,2240.0,2928.0,48458,2928.0
2017-12-06,4080.0,2120.0,3496.0,2192.0,87471,2192.0
2017-12-07,3272.0,2408.0,2936.0,2728.0,46402,2728.0
2017-12-08,2960.0,1760.0,2568.0,2640.0,29844,2640.0
2017-12-11,3160.0,2560.0,2864.0,3056.0,24659,3056.0
2017-12-12,3880.0,3160.0,3584.0,3328.0,36877,3328.0
2017-12-13,4760.0,3624.0,4320.0,4040.0,51226,4040.0
2017-12-14,4280.0,3736.0,4048.0,4000.0,20040,4000.0
2017-12-15,4152.0,3736.0,3840.0,4120.0,12114,4120.0
2017-12-18,4512.0,4040.0,4272.0,4400.0,17059,4400.0
2017-12-19,4176.0,3840.0,4000.0,3912.0,9862,3912.0
2017-12-20,4616.0,3760.0,4144.0,4288.0,18769,4288.0
2017-12-21,4248.0,3720.0,4072.0,3880.0,12482,3880.0
